site_id,document_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment,doc_str,neg,neu,pos,compound
RGV,03_004_22c_003,0.0022522522522522522,0.018018018018018018,0.0,0.0,0.033783783783783786,0.0022522522522522522,0.05405405405405406,0.0,0.009009009009009009,0.04504504504504504,0.0518018018018018,alright teacher feel classroom norms setting awkward like know say get like like like talking amongst ethan corner humming stuff like say like know say like fine teaching right get distraction class sure tell ethan like cut still necessarily teaching like academic content purpose simulation establish classroom norms foundation rest learning noticed asked students lot like know watched game big baseball game last night lots get know important part teaching classroom norm setting necessarily time hopefully would already like morning meeting get know activities first day like teaching classroom norms ask students norms rules would like contribute setting classroom next round want make sure definitely try establish two three classroom norms students recognize saying kind really sure say students needed redirection help giving us specific redirections way like kind said know students know taking away learning whether norms even get know time math lesson want make sure redirect students quickly take away time learning opportunities like said student starts misbehave like ethan beginning starts saying like doo doo doo doo doo doo doo kind went little bit know recognized saw face kind shift change bit need make sure moment recognize specifically redirect ethan saying ethan stop singing going discuss classroom norms ethan stop action classroom norm want contribute need make sure specifically name student well direction want stop got little bit ethan whistling like save whistling clean later kind still incorporate feedback saying ethan stop whistling recess like done recess need make sure tell stop whistling behavior well stop um let us think student pull asking people classroom norms let us think could like anybody ask students norms want contribute lesson want ask try um say anybody norms would like add classroom nope reading well see reading later reading time could definitely continue save page continue reading reading center thank much um better specifically named direction want want ask question sometimes defiant sarcastic way ask know save later could respond like really like book almost end chapter saying know ethan put book away reading right way say specifically simply way hopefully student put away definitley start another student going turn talk neighbors kind cupcakes mom birthday tomorrow chocolate vanilla maybe strawberry think even get like right start talking stop say ethan stop talking birthday classroom norm contribute know another student talking want call another student say ethan stop talking birthday right quickly tell student stop definitely see like student writes ethan started making noise directly stop like discussion beginning discussing make sure ethan stops knows like right dev savannah talking marvel dc yes tell stop next round want focus quickly stopping behaviors spend time talking classroom norms developing class right ready start round two,0.078,0.613,0.309,0.9988
RGV,03_004_22c_007,0.007518796992481203,0.017543859649122806,0.002506265664160401,0.010025062656641603,0.022556390977443608,0.012531328320802004,0.05513784461152882,0.002506265664160401,0.002506265664160401,0.06516290726817042,0.042606516290726815,um tell first give feedback think went um think went kind hard like keep children paying attention tell um hard redirect attention know talking rules know hear every year kind like repetitive thing absolutely think really nice job trying redirect behavior sort ignore really important first step ignore absolutely continue want talk terms change next time say help students redirect behavior pay attention say lot things said redirecting like pay attention tell rule important things right want pay attention want participate conversation also kind generic nonspecific things like mean pay attention know mean giving rule little bit specific trying ask engage material kind gotten stop distraction ask engage want try instead giving specific please stop sorry say student's name say please stop describe specifically whatever behavior want stop example ethan singing could say follows formula ethan please stop banging tables exactly formula want try using different sort distractions mis behaviors see go back simulation want point say asking question making statement optional students want say like well want cannot want clear want second piece well time towards end think getting little bit frustrated understandably right want make sure saying keep sort even sort neutral positive tone ethan please sorry please say ethan please stop drumming move go back talking classroom norms make sense yes going pretend oh sorry going pretend pretend little bit practice first tell think suggesting specific telling stop might effective effective give option stop like know like stament follow clear sort confusion want absolutely going pretend student practice sort feels like make statement let us see lalala lalala lalala lalala lalala lalala la la la suppose say name sorry sorry mistake say coach say ethan whatever whatever prefer going start going start laalalalalalalalala ethan please stop singing please um going get back rules made nice transition said ethan please stop instead want say please stop yes hard naturally like want polite talk adults polite kids polite ends confusing know impolite rude telling teacher authority perfectly fine takes getting used think enough time going pretend student time want start talking norms first interrupt want try telling stop first rule following directions think important boom boom boom boom ethan please stop sorry notice quite quite um oh asked question sure relaized time ohh said another chance practice expecting get perfect chance try feedback gave going simulation beginning going five students going lead classroom norms try redirect getting track,0.167,0.551,0.281,0.9955
RGV,03_004_22c_012,0.0027397260273972603,0.01643835616438356,0.0,0.0027397260273972603,0.030136986301369864,0.0027397260273972603,0.04657534246575343,0.005479452054794521,0.00821917808219178,0.038356164383561646,0.043835616438356165,right feel went think good think sometimes hard one student like constantly constantly like talking topic real happens classroom want go ahead point think really great job redirecting ethan beginning making first time redirect making noises like ethan let us keep quiet told quickly right started making noises even used symbol hands great eventually know might able without student even take conversation away learning quickly addressed name specifically told keep quiet really like redirection looking going encourage like continue throughout simulation throughout simulation students task reminded like raise hand kind raised hand like well darth vader voice sound want specific possible lot want make sure consistently think back things said know ethan whistling like hear whistle kept whistling said like remember right classroom maybe recess go ahead want speak raise hand raise hand started whistling instead saying could keep quickly could keep really quick ethan whistling right practice recess way confusion oh need raise hand whistle like whistling raise hand like specific quick redirections time focus actual activity whether norms future learning right think like deb goes turn ava think next starts talking superheroes backpack everything could say dev succinctly quickly redirect maybe whole signal like dev let us keep dev let us keep good one class going norms like turn neighbor oh hey um birthday tomorrow kind cupcakes think get mom make chocolate vanilla say would say hey let us keep talk later day time right talking classroom rules let us stay focused like know keep talking right could know recess talking norms yep like specifically redirect possible looking also kind went back forth like sometimes specific sometimes specific possible also kind like next thing looking already kind showing sorts different things looking sometimes succinct possible sometimes feel need go like get long know oh really like dev talking superheroes like really nice comment class want make sure classwork sometimes behaviors necessarily need explain much say know like right class talking superheroes save recess way take much time away learning activity um questions right another one going student pull book read call sorry call coach fine coach let us look away go ahead read later recess like read understand right classroom rules remember thank,0.011,0.68,0.309,0.999
RGV,03_004_22c_016,0.00554016620498615,0.024930747922437674,0.00554016620498615,0.002770083102493075,0.0221606648199446,0.008310249307479225,0.0332409972299169,0.00554016620498615,0.002770083102493075,0.01662049861495845,0.024930747922437674,think well sure students like school child yes absolutely students like noticed recognize lot behaviors pretty quickly like beginning ethan making noises looking around figure seemed interested students wanted talk learn things interesting always time sets good relationships teachers students want make sure time classroom like morning meeting maybe lunch students something recess class time want make sure respond task behaviors really timely way spend bulk time whatever instructional activity creating classroom norms situation second round simulation want think redirect students really timely way taking time away classroom norms discuss superheroes video games darth vader anything like one ways could um think um example ethan starts talking played really fun video game last night took opportunity ask students ideally would happen maybe another time like morning share something like could respond ethan saying know rather like like game like asking questions get know better hopefully could another time day could say like ethan talking video games right classroom norms way like quickly direct ethan video games going part discussion um example like whistling ethan whistling like whistle wait know things ask students questions trying redirect sometimes take like hint stop whatever want like say quick specific command saying know ethan stop whistling show recess way kind show interested show way still telling appropriate time could responded ethan darth vader impersonation like luke father could quickly say talking movies right talk later share time quickly know talking right talking darth vader talking movies felt like going listen regardless said felt like going listen regardless like specific redirections give though least certain understand want give specific redirection least eliminates vagueness um beginning like asking questions students know said like whistle talk way like kind negotiating want able give really specific redirection expectation students know might always listen happens least give specific redirection vagueness may may understand going able student pulled book started reading discussion could say reading time right going classroom norms go ahead put books reading time later yep gave like quickly addressed also able tell exactly like put book away read later confusion supposed might students argue back might listen super specific give lot wiggle room interpret response right ready questions,0.024,0.673,0.303,0.9987
RGV,03_004_22c_023,0.005050505050505051,0.03787878787878788,0.0025252525252525255,0.005050505050505051,0.027777777777777776,0.022727272727272728,0.050505050505050504,0.005050505050505051,0.010101010101010102,0.027777777777777776,0.027777777777777776,end simulation alright feel laughing know simulation yooooo oh sorry um definitely simulation something much happen classroom students especially early childhood setting extra energy want get malicious intent like trying defiantly follow classrooms task um noticed recognize task behavior looked certain way giggled something good recognize behavior moving forward need make sure address timely way ok thing class time valuable students task less time engaging whatever activity supposed make sure immediately respond behaviors students um continue whatever talking whether superheroes drumming whistling want address immediately make sense yes sorry looking pen oh um way address behaviors immediately moment notice stopping got pen yes great moment um ethan drumming um moment see say ethan stop drumming put hands lap way address name give specific clear direction needs stop um noticed redirecting kind said name ethan ethan ethan asked like like make sure raise hand necessarily specific vague ethan like oh raise hand start talking superheroes start asking wants hear urkle impression right want say know ethan time time impressions dev time superhero talk ask recess know immediately giving specific direction student's name act want stop student class going norms turn neighbor like birthday tomorrow think chocolate cake vanilla cake start talking immediately even get far conversation um say like go ahead discuss later time right class need focus schoolwork yes would say coach going discuss right focusing schoolwork discuss another time like immediately say name one thing noticed like ethan whistling said like ethan listen real quick thing want ask questions student might student might able whistle listen time drum pay attention time want make sure still distracting students want make sure say ethan stop whistling ethan know stop talking superheroes whatever whatever want make sure name behavior tell stop time right another practice going student practice talking norms going task want stop right right good morning today going go ahead anyone nail file hangnail really need fix anybody coach right time talk go ahead open classroom discussion later right really need focus classroom n classroom rules need listen alright broke nail need nail file yes know coach right look look one later right really need focus addressed name told time right came back still said right look later able give like quick able go invisible friend next nail file quickly quick give specific redirection thank questions um think think good well going turn camera begin simulation,0.057,0.684,0.259,0.9978
RGV,03_004_22c_029,0.0027397260273972603,0.030136986301369864,0.0027397260273972603,0.0,0.024657534246575342,0.00821917808219178,0.043835616438356165,0.0,0.0136986301369863,0.03561643835616438,0.03561643835616438,feel simulation totally mean expect expect guess mean could expect think going obvious definitely challenging simulation want applaud really good job giving voice students try come classroom norms little um stopped behaviors classroom time around want us want focus making sure redirect students timely way moment redirect task behavior begins able stop immediately redirecting students important want make sure much time devoted establishing classroom norms whatever instructional activity may rather allowing student misbehaviors take majority class time away well mean tried redirect started talking uh forgot students let us let us look back things said first misbehavior doo doo doo doo doo making noise think recognized task think attempted redirect asking give classroom norms need make sure explicitly name behavior want stop student might thinking like oh listen pay attention time task even like starts doo doo doo doo doo doo like moment hear start singing say ethan stop singing classroom normally would like share class way clearly explicitly state want stop engaged behavior long say stop yes super explicit specific want stop needs clear possible need stop behavior takes much learning time create two three norms round two let us think starts impression jasmine starts talking jasmine could say ethan time starts going like impression impersonation well going tell stop going ask stop well would think noises talking stop talking say ethan stop making noises talking peers say like rather redirect ethan situation said jasmine talk classroom norm tried like pull jasmine rather stop ethan instead need like ethan stop making noises talking jasmine classroom norm would like share phone rings inaudible practice students immediately able focus direction back towards classroom norms get sometimes tell say like distraction pay attention distraction need like slowly redirect without getting attention wants wants attention trying like kind way saying like need directly stop ethan make noises stop talking well think like depends depends like know student might know behaviors first day school like explicitly address say stop say student pull book read pull book right open tell stop reading book put away please yep want say stop reading book put away make sure direct name looking timely specific redirection student task behavior continues understand awesome right ready,0.106,0.623,0.271,0.9963
RGV,03_004_22c_030,0.01680672268907563,0.025210084033613446,0.0028011204481792717,0.01680672268907563,0.014005602240896359,0.022408963585434174,0.03361344537815126,0.0056022408963585435,0.0056022408963585435,0.025210084033613446,0.011204481792717087,subbed kids like back work yes realistic sometimes notice like quickly recognize students task students showing behaviors necessarily desired classroom know typically pretty quickly tried redirect student know saying like ethan calling attention student time around think need work maybe phrasing redirections make sure specific continue addressing right away making sure give clear redirection confusion student going kind going go different behaviors saw respond try think maybe make redirection specific right um ethan begins darth vader impersonation um said like speaking talking talk everything need talk rules kind responded like talking making noise right yes brought back work like want yes lots times like behaviors especially elementary school trying defiant horribly disrespectful anything like want entirely sure might bunch extra energy rather ask questions saying know supposed right know call speak respectful need give really specific redirection know ethan stop making darth vader noises classroom norms way confusion make sense want like name students well name behavior want stop want make sure tell stop directly aligns ethan drumming told stay quiet said keep maybe could say addresses noise hand movement strumming something way like keep hands table like lap exactly right could say ethan know stop making drumming noises put hands lap table wherever want way named stop making noise hand movements way understands exactly let us think dev second dev turns starts talking either jasmine ava remember one starts talking superheroes said dev raise hand speak jasmine thing raised hand want still raise hand start talking superheroes could say dev maybe redirect specifically like head like actually say like want interrupting interrupting also like side conversation peer right say know dev time interrupt dev time talk neighbors know way knows supposed talking neighbors interrupting might even think interrupting shouting whole class interrupt might say oh talking neighbor want specific possible say dev stop talking superheroes neighbor get back classroom norm setting alright time student pull book read tell oh god nervous nervous opportunity learn question pull book read could say jamie put book away stop reading want like name exactly want stop alright got round two questions excellent going turn camera round going give specific directions,0.1,0.63,0.27,0.9964
RGV,03_004_22c_032,0.0044444444444444444,0.03111111111111111,0.0,0.008888888888888889,0.013333333333333334,0.013333333333333334,0.057777777777777775,0.0044444444444444444,0.0044444444444444444,0.057777777777777775,0.044444444444444446,first simulation go oh gosh really hard know one thing like calm really came place like wanting like understand rules rules comments way went great tone great today want talk want talk specific said right address behavior move lesson right want first try modeling inaudible right going show going practice dev ethan starts drumming drumming drumming drumming going say ethan please stop drumming going move going adjust behavior timely adjusted timely specific going move back lesson let us practice going friend ethan going teacher want jump starts whistling ethan could please stop class makes noises ethan please stop drumming please inaudible drumming still whistling unknown speaker 2 14 letting everybody everybody else listening going stop asked focus thinking behavior want stop want get real clear want stop say words possible move lesson lesson important want get whole class continue learn right questions think might better might better address students short specific cues short specific things like basically going give three rules right away like going explain looks like first moving next rule right want want students generate rules want come rules already created want students generate want ask questions students say norm class tell focus make sure norms collaborative agreed upon students feel part decision making process make rules tend greater buy rules play part creating taking notes great question questions move simulations think good,0.053,0.64,0.307,0.9951
RGV,03_004_22c_033,0.015748031496062992,0.015748031496062992,0.003937007874015748,0.00984251968503937,0.013779527559055118,0.021653543307086614,0.031496062992125984,0.013779527559055118,0.003937007874015748,0.021653543307086614,0.00984251968503937,alright lady think expecting expecting desruption yes definitely different might expected coming also sometimes realistic mhm students might necessarily like malicious intentions behavior distracted lot going going work give like quick behavioral redirections continue classroom norms think one thing really well addressing students name first one really sure making noises find making noises make sure said name address important part one things want make sure keep see student following directions following norms want make sure address name confusion like everyone class might know everyone let us make sure paying attention everyone let us make sure quiet way hear jamie quiet know like one teachers hearing need quiet um going work making sure give specific direction oopsie forgot set timer um also making sure really timely manner way distraction taking away much class time notice ethan starting impersonations think dev pretending darth vader whistling humming singing want make sure stop behavior pretty quickly might keep going going ethan might think listens better hmm hmm hmm distracting people around want make sure like address soon start hear misbehavior happening makes sense want talk kind like excusing moment hear time say jamie stop jumping table give quick quick right behavior started occur also direct use name said exactly like janie stop drumming discussing classroom norms class something specific brief make sense yes want review notes real quick um part specific piece also want make sure naming student stop um sometimes teachers might want like might think want vague calling student really want make sure using student's name really saying behavior want see well want see one students whistling think earlier said like everyone makes sure paying attention thing ethan might think whistling might still paying attention hears everyone pay attention stop whistling necessarily resonate student time might think like drum pay attention time unfortunately drumming distracting peers class cannot hear might instead saying like everyone makes sure paying attention say like ethan put hands lap stop drumming know like give know hands hands makes sense mhm next time um next simulation dev starts talking darth vader voice luke father going darth vader halloween blah blah blah could say dev immediately get us back track classroom norms dev now's time talking halloween save class right need quiet talk classroom rules exactly said use dev name said today day talk darth vader halloween talking classroom rules way quickly redirect also taking much time away classroom discussion norms um let us see coaching round goes fast want make sure missing anything um one kids someone like phone going phone ringing could say say jamie phone rings start looking phone could say jamie phones classroom discussing please put phone away use school really want say please could like oh really important got mom phone go like jamie put phone away class kind like started remove questions vagueness say name need mhm see like tone great students feel like oh got bunch trouble like giving quick redirection put back track round going work getting behavior really quickly making sure give specific feedback want see right good,0.066,0.678,0.257,0.9984
RGV,03_004_22c_040,0.016355140186915886,0.007009345794392523,0.007009345794392523,0.009345794392523364,0.016355140186915886,0.018691588785046728,0.028037383177570093,0.002336448598130841,0.009345794392523364,0.02570093457943925,0.009345794392523364,end simulation take deep breath finished first one going reset timer coaching conversation finish one note start talk happened um tell went think went well think challenging um think everyone answered classroom norms everyone shared something like like interruptions yes definitely yes think really nice job asking questions asking follow questions get students participating saw noticed interruptions seems like maybe totally sure sound right um work today go back simulation try sort new strategy lot interrupting sometimes talked like sort kept talking norms totally understand like trying keep task times asked ethan keep like keep sort times went student interrupting like something contribute tell norm right trying bring back conversation totally understand things challenge cannot participate conversation student going able sort pay attention focus gotten distraction stop talking norms important encouraging student like return conversation great effectively gotten student stop interruption keep things want say something like ethan please stop drumming keep little bit generic unclear might mean keep like really wanted ethan could like well hands keeping middle school students sometimes even elementary school students much love find sort loopholes teacher might say want say clear easy interpret possible make sense ethan says ethan singing might say ethan please stop singing yes except part clear confusion ask question want make clear option cannot say instead saying please stop singing would say ethan please stop singing exactly long tone voice like like going like angry upset sort rude sort clear redirection might effective strategies trying think like trying like ignore really like ignore trying brush like make seem like interrupting like able listen others stuff absolutely send back simulation try students going pretend student sort feel feels like moment means want start talking classroom norms going interrupt misbehavior want say coach stop whatever want stop right take away teacher today going discussing classroom norms savannah psst want talk rocket club coach stop whispering friend whispering friend great want say try one time oh coach stop whispering yes exactly common used talk adults politely use language like common sort get quite right exactly going give chance practice go back simulation get comfortable promise teacher seems like something simple please stop would work works well especially say move go back big long discussion like back forth threatening punish anything things great giving one little extra phrase questions talked go back think good great well excited see try strategy think help able sort get discussion little bit smoothly next time head back simulation thing going happen going try using feedback talked coaching conversation let know whenever ready start ready alright begin,0.122,0.549,0.329,0.9986
