document_id,paragraph_id,doc_str,term_count
01_004_12c_001,1,right real quick minute timer see classroom,7
01_004_12c_001,2,empty classroom,1
01_004_12c_001,3,student screen black ask seconds see kids hands matters way think,7
01_004_12c_001,4,second question able get elaboration sure kind gears next question sense answers clarification thing sure sort end critical thinking question get next question smoothly kind transition,19
01_004_12c_001,5,transition fine thing kind sort sum something kind next thing someone evidence let move question great transition,14
01_004_12c_001,7,area work though students misconceptions kind need kind need let know correct answer ask questions get right answer recognize students misconceptions things right,28
01_004_12c_001,8,think students student turn clear passage passages read exact number passages,11
01_004_12c_001,10,sorry know student incorrect much go clarification kind confusion part,7
01_004_12c_001,11,something like pre service teachers teachers kind hard line walk want wrong self esteem proceed things prompt fix misconception text text question new student intern first think first line kind respond text idea keep reading buying something students kind go directions go text paragraph cover think lie detector situation student know see situation direct text say paragraph cover student like give opportunity go text able time world wait point like paragraph like think nervous lie detector results kind first ask keep reading find give little bit push right passage,87
01_004_12c_001,13,make sense,3
01_004_12c_001,14,sure remember part first question someone nervous nervous someone happy correct,8
01_004_12c_001,15,excited misconception lot text evidence thing cool place work want true thing great place work question lie detector results find lie detector results paragraph description thing,32
01_004_12c_001,17,able go find oh paragraph heart pounding know paragraph paragraph paragraphs talks clammy hands heart pounding things,17
01_004_12c_001,19,kind direct question evidence wrong part story know ask keep reading situations want like tell look get point right direction look check paragraph paragraph let read things start click,31
01_004_12c_001,21,next simulation see classroom right make sure good work students misconceptions scaffold misunderstanding questions text clarify,18
01_004_12c_003,1,teacher,1
01_004_12c_003,2,good,1
01_004_12c_003,3,things beginning nervous think think nervous probes think textual evidence excited new job great job textual evidence make sure consistent work work students wrong answer students wrong ideas think students wrong answer,50
01_004_12c_003,4,kind first think see kind everything kind whole thing question kind like point let go look story,16
01_004_12c_003,5,thing model good points example connect model model chat put model chat model last message many times copy paste try model summary go feeling new job incorrect answer first thing say thank evidence text tell think peace specific evidence text important evidence text tell give evidence incorrect claim incorrect least right follow evidence text tell something different ethan answers give opportunity go text find additional textual textual evidence opportunity say read paragraph learn scaffold detect goal help find answer want tell let practice tell likely feel ir likely feeling lie detector results student,104
01_004_12c_003,6,likely feeling lie detector results,9
01_004_12c_003,7,calm,1
01_004_12c_003,8,um evidence text tell,6
01_004_12c_003,9,um paragraph,2
01_004_12c_003,10,evidence text tell something different,7
01_004_12c_003,11,heart chest nervous great job lines practice,10
01_004_12c_008,1,go,0
01_004_12c_008,2,good smoothly robot children point answer um kids get confusion,7
01_004_12c_008,3,like super calm confident um something right bat like think nervous students textual evidence push go text continue like praise something continue textual evidence heavy lifting good job evidence consistent evidence collect evidence see thinking,30
01_004_12c_008,5,much give today work sorry fix misunderstandings culture mistakes students answer wrong support,14
01_004_12c_008,7,teachers students misunderstandings,5
01_004_12c_008,8,first instinct ask time explain realize nevermind half important know something like something simple like thanks hand thanks thanks best guess kids hear feel everybody,20
01_004_12c_008,9,build culture make mistakes model students mistakes,7
01_004_12c_008,10,great,1
01_004_12c_008,11,new job incorrect answer say thank evidence text something everyone evidence text tell good chance guide information text support initial thought feeling give wrong evidence wrong evidence thank evidence text tell something different send text second time text second time know hey first time wrong evidence send second time find additional evidence language inaudible text asecond time find additional textual evidence find additional text evidence read read learn text twice paragraph evidences build skill textual evidence make normal students,90
01_004_12c_008,12,sense,1
01_004_12c_008,14,sort kids answer first place regardless unsure end wrong sort pressure cooker kids right answers hands reason reasons student get second try student individual scaffolding individualized attention important,18
01_004_12c_008,15,let try student teacher ask likely feeling lie detector result,17
01_004_12c_008,16,ask,1
01_004_12c_008,18,likely feel lie detector results,9
01_004_12c_008,19,calm,1
01_004_12c_008,20,thank good point use evidence text tell,10
01_004_12c_008,21,paragraph,1
01_004_12c_008,22,true say good reading evidence text tell something different lisa's feeling,12
01_004_12c_008,23,paragraph heart chest nervous,7
01_004_12c_008,24,people hearts pound nervous paragraph idea say,6
01_004_12c_008,25,great job great job additional evidence ready ready next round wait ready dive second round simulation,18
01_004_12c_008,26,ready,1
01_004_12c_017,1,go,0
01_004_12c_017,2,first time,1
01_004_12c_017,4,able able experience classroom little bit able kind provide little bit specific connections stuff aspects answer correct kind bring students answers kind piggyback little bit,29
01_004_12c_017,5,something good first textual evidence beginning nervous tell go look textual evidence answer wrong new job get textual evidence good job keep students answer right probe textual evidence wrong probe textual evidence practice skill show thinking make thinking visual today practice students wrong answer way put model chat model give wrong answer excited new job incorrect answer say thank evidence texts tell something good job part give wrong textual evidence give evidence original thinking wrong answer textual evidence follow second question question evidence text tell something different queue ethan answer incorrect go text look additional textual evidence important opportunity practice textual evidence scaffold much find additional textual evidence try layer support support say read paragraph learn cannot hard time textual evidence guide textual evidence approach,155
01_004_12c_017,6,kind forces kind go text supplement answer level skills able find right context get evidence contradict thoughts point think way realize wrong subtle like wrong pushes thinking like wrong right answer final scaffolding like let look let see provide get,31
01_004_12c_017,7,let practice teacher ask likely feeling lie detector results student go ask question,23
01_004_12c_017,8,likely feel lie detector results,9
01_004_12c_017,9,calm,1
01_004_12c_017,10,calm text think,4
01_004_12c_017,11,paragraph,1
01_004_12c_017,12,indicate calm evidence text tell something different,8
01_004_12c_017,13,paragraph heart chest nervous,7
01_004_12c_017,14,nervous find evidence nervous paragraph show find paragraph,7
01_004_12c_017,15,scene great job follow way get chance practice able use additional scaffold paragraphs paragraph student go simulation get second chance simulation beginning question,22
01_004_12c_017,16,think,1
01_004_12c_022,1,sorry,1
01_004_12c_022,2,worries think,2
01_004_12c_022,3,good little smoother last time kind kind behavior type deal comfortable guess,9
