term_str,PC0,PC1,PC2,PC3,PC4
think,0.33211200351845704,0.2689635462568903,0.539885785387414,0.4300211689090741,-0.12302305558077048
going,-0.03675268450426172,-0.19388669322115212,-0.13227957009596653,0.09537935100357617,-0.3006477868533611
want,-0.052650048409114025,-0.1899797217809273,0.089173773804821,0.001998482347435604,-0.1041915857567858
know,0.02428736781969293,-0.12270702292959758,0.06762548144711639,-0.03741046024582595,-0.02261635754486991
say,0.009176264852230165,-0.14258990025387247,0.05208003516955312,0.0628153532102591,0.04298281178353529
students,0.023838654037945425,-0.13893889420418892,0.1053381615158741,-0.058192733053315515,-0.1215859981228232
student,0.04683440230607941,-0.14753112647459388,0.01814447772156691,0.03710161799625636,-0.060363223179938176
ethan,-0.18328319896669548,-0.18347827173898834,0.056084685433232695,0.22532335588298932,0.04121657438364171
text,0.23008350573204717,-0.25927366001425955,0.13473393607912898,-0.132011997736393,-0.09689965606653013
stop,-0.35444767692317825,-0.1610496685675424,0.02307876292798461,0.35036771518704396,0.0814746057173984
um,0.026587443787999186,0.0578617065250795,0.09538067152797713,0.007805785678839494,-0.0019901552358995017
let,-0.02210369227091398,-0.06527254347467186,-0.023716766760361604,0.026745359048308964,-0.056244795641069656
kind,0.014762783249117839,-0.05902579295895338,0.06194451838575962,-0.030233395539358804,-0.04174207335487362
time,-0.05594035251048133,-0.03811077464386348,0.02521078988208671,-0.01378867910354542,-0.05601749759886282
give,0.009210630364670649,-0.09976217850217646,0.023653614329156372,-0.03386899587990996,-0.09436946841916216
something,0.010165737021285171,-0.08387048833259318,0.052432898941980784,-0.008335196415783792,-0.0409408453655917
make,-0.0046282843896300685,-0.08723272526113812,0.056793147922159073,-0.0012048268569949186,-0.04125614223614098
said,-0.0006969682101331487,-0.07978502491014722,0.051773409372463185,0.029885804401485316,-0.016824819007980513
ask,0.08991664776278352,-0.14381524234205573,-0.011754951145176388,0.0025024684842639387,-0.07879326400777434
question,0.06299918175083258,-0.09562598594086177,-0.012534401865490197,-0.009093071014566096,-0.07202942523236375
evidence,0.17762093919442076,-0.23489089899057333,0.11669260850492973,-0.13016462773522855,-0.1390072334664793
paragraph,0.19734750789900526,-0.12794193197377327,-0.06006382780282422,-0.0737861212361912,0.38474433009179687
good,0.027854538863141817,0.11273276045625572,0.13884309716312065,-0.06560099050638214,-0.0403543885804901
go,0.007046828287168279,0.02894994187049651,-0.12475753957849507,-0.1750311149296153,-0.07051858770861948
way,-0.02231729419018595,-0.06023588860333315,0.03337373048318711,0.008247510268867638,-0.029383826214923376
lisa,0.30937813352114774,-0.03247770368147505,-0.1360611003979502,0.3260528171607478,0.01048613531650174
great,0.0016013055548565354,-0.046428428995596106,0.04181237626386009,-0.07695089267040843,-0.07851385812820308
get,-0.022310256929941014,-0.026736868079662555,0.02571390746192527,-0.04196929320448923,-0.06810885487622544
classroom,-0.11437224612140054,-0.0038440368975393405,0.003367097864666678,0.03498573107992099,-0.03643270138817502
specific,-0.08737611050683039,-0.07016406952980062,0.041749864967777446,0.05110976810608898,-0.03738066244634731
talking,-0.14682696904180412,-0.060989560028503094,0.02001998749039097,0.14156903730734577,0.02968881177723298
tell,0.034300335214865835,-0.08627783599532748,0.041933264376399305,-0.017760540582225374,-0.030129437818350632
feel,0.04260395608980513,0.22044431563904276,-0.29060647895005504,-0.02620503966797402,-0.1990144491294581
simulation,-0.03937333651557183,0.09321192918871433,-0.08807210782451522,-0.12963205415408183,-0.20536636093353433
see,0.026593186681813253,-0.06148577087950404,0.011698839860652684,-0.033748724604618245,0.00497361043096761
answer,0.09208444665127177,-0.12896533035177635,0.06325540849759975,-0.06464734868903596,-0.10198249533135859
thing,0.0030260104024800267,-0.05648603398573295,0.03387866914887752,-0.010935823268628683,-0.040835538870068105
little,0.0017398522054978196,-0.022326138522242116,0.03829823033027337,-0.011787031482933084,-0.029015949324499253
questions,0.005710526364133337,-0.035068998537254446,0.020696167337736653,-0.09538159927364066,-0.09167475977809063
first,0.03680301443497437,-0.027312814384512597,0.011096247575203302,-0.014182165316491548,-0.06217279739807291
try,-0.059180443398396315,-0.03929715725290207,-0.007504481414544301,-0.03341638191520334,-0.09291287167516978
sure,-0.01391262374418218,-0.06733592693993214,0.05044968100846438,-0.022039872439057452,-0.030306198250227165
please,-0.2355211089513628,-0.08694925252512192,0.001086830882040072,0.23874087890538456,0.09050991012491214
feeling,0.15316537875993966,-0.08779133158591924,-0.0905571936638197,0.09022682092112969,-0.043650701115995005
practice,-0.014896396462058719,-0.07131066967909916,-0.06073633082114959,0.03109476526840553,-0.12020081762591646
behavior,-0.10249324262352202,-0.06178640653355253,0.025843705267347944,0.07080095204307386,-0.03253424101927539
nervous,0.2080434721417585,-0.03032901392577238,-0.0016273333438974972,0.06875916331496135,0.17409870522104365
need,-0.05288847367648276,-0.03417390056972013,0.01682602597990978,0.026271036132207493,-0.0031706751214119846
saying,-0.006856144640922402,-0.045748605789337704,0.027236874573771608,0.009261176002009482,-0.0007299672301825052
job,0.02884442918788132,-0.058050989555526455,0.03505306578396448,-0.042778482697268104,-0.06271403371991062
says,0.1284303002426888,-0.06250284191193671,-0.04145634968254773,-0.037642507151062925,0.2741650931124201
look,0.03775230210535507,-0.09208489277406717,0.01218200631304324,-0.013242812050343809,0.01670000351957092
asking,0.03885904349091033,-0.07205366390790965,0.026289529584698133,-0.018349702958334758,-0.04318536329594394
lie,0.14389246412802995,-0.06016332732281754,-0.24991960125223836,0.1577060313923693,-0.06695312942622918
norms,-0.0889559604841092,-0.01027412000010137,0.010824353929462238,0.03355158346444213,-0.031142813503507418
next,-0.0012380230855320036,-0.044694966690464986,0.019697699323110676,-0.031097579924712092,-0.056402597048865286
teacher,-0.008262849325441654,0.06582227159222108,-0.09322375532240332,0.013386811403645551,-0.125399553334268
read,0.063323724880639,-0.07776240193484904,-0.005150607511645766,-0.04054650895073725,0.06230738743534295
work,-0.003323837315153093,-0.048572979553490984,0.0299975944274093,-0.012078628435500467,-0.03400201558415627
bit,0.006431076291740968,-0.019140087855801128,0.034532431075309525,-0.005522851751653854,-0.025834261349366516
thinking,0.03233498294182169,-0.06058080735878083,0.03254923905836827,-0.0321284587517849,-0.02807457375424017
excited,0.07302626641133415,-0.08933063208923013,0.034113118869031976,-0.005906672043422817,-0.01830839219121952
detector,0.1375889424196755,-0.05409763180453385,-0.24979760265270623,0.16118225820288984,-0.08030667158628786
start,-0.02608792452525325,-0.010342667733350254,-0.0012669789921193036,-0.021722488917109373,-0.0533097989208727
round,-0.011705808560220425,-0.012394332882344957,0.013093656409546135,-0.04136650445148203,-0.07954584053672718
help,0.025872983408253662,-0.05783197462077985,0.03267669938293677,-0.014743831085611007,-0.03539910148300824
talk,-0.03153330136429749,-0.017945991795129138,0.011209481494577875,0.0020553934302024414,-0.022546825522587154
making,-0.057562623951690976,-0.038802720644518424,0.02005909452144573,0.04484565192504889,-0.00040801485474750644
redirection,-0.05239750455632062,-0.0330279376983141,0.02372170219832118,0.03124597288050108,-0.026925990314622256
calm,0.1649177635038038,0.019506154152905394,0.05508428704537961,0.18760465756739095,0.08153882131004053
things,-0.007865348327273652,-0.021405151971380314,0.021332395901577688,-0.0028173300669524976,-0.015130569555219204
put,-0.07175972876544925,-0.026027442797550933,-0.0026003077574483476,0.034623966087577854,0.02820619540244706
makes,0.06971714714856735,-0.013070386315679547,0.050460996156143946,0.02167985946259092,0.028172123366155925
trying,-0.016333912168310892,-0.014670774647770541,0.027249970567002516,0.0008856347354265981,-0.01778471885307738
thank,0.02537997599382179,0.053171418409097906,0.00967584507479869,-0.17086529736103412,0.029882413420494913
went,0.055120415003271465,0.3395370306856941,0.16656952872422817,0.09331668290507987,-0.18952030138073475
results,0.12400842958526284,-0.045294459528927536,-0.23449612100905115,0.15266146149277995,-0.0793954737414856
using,0.045977441630943514,-0.07180732130805752,0.043090249948878764,-0.02964716189830562,-0.04555425127266392
