term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,dfidf
like,3702,0.04397249046787585,4.507254945058957,4,IN,8,"{'VBN', 'VBZ', 'IN', 'VBP', 'NN', 'RB', 'JJ', 'VB'}",0,like,like,lik,1338,1.5544511965045078,0.3996265985929796,1570.5325324704236,0.0,1.5544511965045078,2079.8557009230312
think,1856,0.0220456354155531,5.503363129801959,5,VBP,3,"{'VB', 'VBP', 'NN'}",0,think,think,think,1114,1.818780079805937,0.32449735235503946,1275.2745947552999,0.0,1.818780079805937,2026.1210089038138
going,1298,0.01541769114729953,6.019269456930393,5,VBG,1,{'VBG'},0,go,go,going,724,2.4404677100627636,0.26917425858648175,1057.854836244866,0.0,2.4404677100627636,1766.8986220854408
want,1294,0.015370179002007388,6.023722222937024,4,VBP,3,"{'VB', 'VBP', 'NN'}",0,want,want,want,720,2.448460500816294,0.2375316538395974,933.4993995896199,0.0,2.448460500816294,1762.8915605877316
know,1148,0.013635985698844267,6.196437198253843,4,VBP,4,"{'NNS', 'VB', 'VBP', 'NN'}",0,know,know,know,688,2.514048842443871,0.21647043897206825,850.7288251602295,0.0,2.514048842443871,1729.6656036013833
right,1110,0.013184620318568934,6.245000163692063,5,RB,6,"{'NNP', 'VBP', 'NN', 'RB', 'VBD', 'JJ'}",0,right,right,right,775,2.342261096984369,0.26171609996666956,1028.5442728690193,0.0,2.342261096984369,1815.2523501628862
really,1081,0.012840157265200916,6.283193317194881,6,RB,1,{'RB'},0,realli,realli,real,598,2.716311922947864,0.21579802696391445,848.0862459681846,0.0,2.716311922947864,1624.3545299228226
students,1048,0.01244818206654076,6.3279211233920805,8,NNS,1,{'NNS'},0,student,student,stud,610,2.68764816469572,0.20176936139190507,792.9535902701899,0.0,2.68764816469572,1639.4653804643892
text,1043,0.012388791884925584,6.334820682409766,4,NN,10,"{'VBN', 'NNP', 'IN', 'VBP', 'NN', 'RB', 'VBD', 'JJ', 'NNS', 'VB'}",0,text,text,text,508,2.951628910373803,0.23395582838396733,919.4464055489964,0.0,2.951628910373803,1499.4274864698918
ethan,1033,0.012270011521695233,6.348719586064472,5,NNP,11,"{'VBN', 'UH', 'NNP', 'IN', 'VBP', 'NN', 'RB', 'JJ', 'NNS', 'VB', ""''""}",0,ethan,ethan,eth,512,2.940313597145969,0.22683665910483866,891.4680702820166,0.0,2.940313597145969,1505.440561738736
say,949,0.011272256470560287,6.471079847908421,3,VB,5,"{'NNP', 'VBP', 'NN', 'JJ', 'VB'}",0,say,say,say,641,2.6161330505272278,0.2068437500184923,812.8959375726744,0.0,2.6161330505272278,1676.941285387953
student,896,0.010642720545439428,6.553989202871927,7,NN,4,"{'NNP', 'VBP', 'NN', 'JJ'}",0,student,student,stud,544,2.8528507558956293,0.19686715403693603,773.6879153651614,0.0,2.8528507558956293,1551.9508112072224
stop,850,0.010096330874579814,6.630025093904467,4,VB,8,"{'FW', 'VBZ', 'NNP', 'VBP', 'NN', 'VBD', 'JJ', 'VB'}",0,stop,stop,stop,496,2.9861172867590935,0.23423490507616562,920.543176949334,0.0,2.9861172867590935,1481.1141742325103
evidence,763,0.009062941714475763,6.785804878095,8,NN,1,{'NN'},0,evid,evid,evid,353,3.4767892238747886,0.17933894924264882,704.8020705236121,0.0,3.4767892238747886,1227.3065960278004
us,743,0.008825380988015061,6.824125724390934,2,PRP,1,{'PRP'},0,us,us,us,529,2.893189685031943,0.18843203930470276,740.5379144674812,0.0,2.893189685031943,1530.497343381898
could,699,0.008302747389801518,6.912195479554095,5,MD,2,"{'NNP', 'MD'}",0,could,could,could,456,3.107423582981227,0.18463312353496872,725.6081754924248,0.0,3.107423582981227,1416.9851538394396
one,692,0.008219601135540272,6.926715897292806,3,CD,2,"{'CD', 'NN'}",0,one,one,on,505,2.9601740195068116,0.18247786700033425,717.1380173113116,0.0,2.9601740195068116,1494.88787985094
would,666,0.007910772191141361,6.981965757858268,5,MD,1,{'MD'},0,would,would,would,498,2.980311665077888,0.18364618095377766,721.7294911483498,0.0,2.980311665077888,1484.1952092087881
kind,657,0.007803869864234045,7.001594564607201,4,NN,2,"{'NNP', 'NN'}",0,kind,kind,kind,423,3.215799744026019,0.15568980673739882,611.8609404779759,0.0,3.215799744026019,1360.2832917230062
might,598,0.007103065721174975,7.137342450731426,5,MD,2,"{'NNP', 'MD'}",0,might,might,might,376,3.3857247454683317,0.147211245687338,578.5401955512391,0.0,3.3857247454683317,1273.0325042960926
let,565,0.006711090522514818,7.219237067626981,3,VB,7,"{'NNP', 'IN', 'VBP', 'NN', 'VBD', 'JJ', 'VB'}",0,let,let,let,442,3.152411037754537,0.1714683998058243,673.8708112368917,0.0,3.152411037754537,1393.3656786875054
time,560,0.006651700340899643,7.232061107984564,4,NN,1,{'NN'},0,time,time,tim,418,3.2329544650650863,0.16714269672717103,656.8707981377825,0.0,3.2329544650650863,1351.374966397206
um,556,0.006604188195607502,7.242403052206024,2,NNP,11,"{'VBZ', 'NNP', 'IN', 'VBP', 'NN', 'RB', 'VBD', 'PDT', 'JJ', 'NNS', 'VB'}",0,um,um,um,451,3.123329973890588,0.18742922835685547,736.5968674424441,0.0,3.123329973890588,1408.6218182246553
give,548,0.006509163905023221,7.263312041969004,4,VB,4,"{'VB', 'VBP', 'NN', 'JJ'}",0,give,give,giv,385,3.351598961563705,0.14745036241939066,579.4799243082064,0.0,3.351598961563705,1290.3656002020266
well,539,0.006402261578115906,7.287202662177026,4,RB,7,"{'UH', 'NNP', 'IN', 'VBP', 'NN', 'RB', 'NNS'}",0,well,well,wel,445,3.142652071292209,0.16317242724971037,641.2676390913631,0.0,3.142652071292209,1398.480171725033
said,538,0.0063903835417928705,7.289881762372906,4,VBD,1,{'VBD'},0,said,said,said,365,3.428560943378589,0.1324367066275544,520.476257046287,0.0,3.428560943378589,1251.4247443331851
paragraph,531,0.0063072372875316255,7.308776074125377,9,NN,13,"{'FW', 'VBZ', 'NNP', 'IN', 'VBP', 'NN', 'RB', '$', 'VBD', 'VBG', 'JJ', 'NNS', 'VB'}",0,paragraph,paragraph,paragraph,347,3.501521744567708,0.19520055790367988,767.1381925614603,0.0,3.501521744567708,1215.0280453649946
make,525,0.006235969069593414,7.325170512376046,4,VB,5,"{'NNP', 'VBP', 'NN', 'JJ', 'VB'}",0,make,make,mak,368,3.416751641088956,0.13001381469370324,510.95429174625343,0.0,3.416751641088956,1257.3646039207358
answer,524,0.00622409103327038,7.3279211233920805,6,NN,6,"{'VBZ', 'IN', 'VBP', 'NN', 'VB', 'JJR'}",0,answer,answer,answ,297,3.725994476345203,0.13572226536231505,533.3885028738981,0.0,3.725994476345203,1106.6203594745252
something,505,0.005998408343132713,7.381204547290374,9,NN,3,"{'VBG', 'NN', 'JJ'}",0,someth,someth,someth,381,3.366666409652647,0.1273289942437843,500.4029473780723,0.0,3.366666409652647,1282.6999020776584
ask,503,0.005974652270486643,7.386929535124004,3,VB,7,"{'VBZ', 'NNP', 'IN', 'VBP', 'NN', 'JJ', 'VB'}",0,ask,ask,ask,363,3.436487859150218,0.14300993079983682,562.0290280433607,0.0,3.436487859150218,1247.4450928715291
back,501,0.005950896197840573,7.392677331734323,4,RB,6,"{'VBP', 'NN', 'RB', 'JJ', 'VB', 'RP'}",0,back,back,back,393,3.321928094887362,0.14198771683730663,558.0117271706144,0.0,3.321928094887362,1305.5177412907333
question,488,0.005796481725641117,7.430606787366645,8,NN,4,"{'VB', 'VBP', 'NN', 'JJ'}",0,question,question,quest,354,3.472708047062971,0.1527836681016294,600.4398156394054,0.0,3.472708047062971,1229.3386486602917
specific,470,0.005582677071826486,7.484827178364531,8,JJ,3,"{'VBN', 'NN', 'JJ'}",0,specif,specif,spec,314,3.645692848254342,0.13828024325479862,543.4413559913575,0.0,3.645692848254342,1144.7475543518633
way,440,0.005226335982135433,7.579984411404872,3,NN,1,{'NN'},0,way,way,way,341,3.526685668121796,0.11518837122536492,452.69029891568414,0.0,3.526685668121796,1202.5998128295325
classroom,436,0.005178823836843293,7.593159800152605,9,NN,4,"{'NNP', 'VB', 'NN', 'JJ'}",0,classroom,classroom,classroom,317,3.6319745670065613,0.15551576423999144,611.1769534631667,0.0,3.6319745670065613,1151.33593774108
great,434,0.005155067764197223,7.599792892485052,5,JJ,3,"{'NNP', 'NN', 'JJ'}",0,great,great,gre,332,3.5652741657990443,0.14271621926586722,560.8747417148581,0.0,3.5652741657990443,1183.6710230452827
lisa,433,0.005143189727874187,7.603120910202806,4,NNP,3,"{'NNP', 'VBN', 'JJ'}",0,lisa,lisa,lis,339,3.535172134009625,0.1751092704166199,688.1794327373188,0.0,3.535172134009625,1198.4233534292628
talking,425,0.005048165437289907,7.630025093904467,7,VBG,1,{'VBG'},0,talk,talk,talk,313,3.6502947502133503,0.14669528135510243,576.5124557255538,0.0,3.6502947502133503,1142.5422568167787
tell,421,0.005000653291997767,7.6436677018631345,4,VB,7,"{'NNP', 'IN', 'VBP', 'NN', 'RB', 'JJ', 'VB'}",0,tell,tell,tel,313,3.6502947502133503,0.1342792250194878,527.7173543265882,0.0,3.6502947502133503,1142.5422568167787
oh,416,0.0049412631103825915,7.660904406788439,2,UH,14,"{'FW', 'UH', 'PRP', 'VBZ', 'NNP', 'IN', 'VBP', 'NN', 'RB', 'MD', 'JJ', 'NNS', 'VB', 'RP'}",0,oh,oh,oh,371,3.4050382205251655,0.17197412765403647,675.8583216803639,0.0,3.4050382205251655,1263.2691798148364
good,413,0.004905629001413486,7.671346153510085,4,JJ,4,"{'NNP', 'VBP', 'NN', 'JJ'}",0,good,good,good,345,3.5098610454804375,0.16409628413040633,644.8983966324979,0.0,3.5098610454804375,1210.902060690751
please,407,0.004834360783475276,7.692459140663284,6,VB,8,"{'VBZ', 'NNP', 'VBP', 'NN', 'RB', 'VBD', 'JJ', 'VB'}",0,pleas,pleas,pleas,264,3.8959194777875155,0.1660130141609284,652.4311456524488,0.0,3.8959194777875155,1028.522742135904
get,407,0.004834360783475276,7.692459140663284,3,VB,4,"{'NNP', 'VB', 'VBP', 'NN'}",0,get,get,get,325,3.596017689230152,0.1298392571376474,510.2682805509528,0.0,3.596017689230152,1168.7057489997994
go,400,0.00475121452921403,7.717487935154806,2,VB,6,"{'VBN', 'NNP', 'VBP', 'NN', 'JJ', 'VB'}",0,go,go,go,345,3.5098610454804375,0.15543822426843512,610.872221374951,0.0,3.5098610454804375,1210.902060690751
behavior,392,0.00465619023862975,7.746634280814322,8,NN,8,"{'VBZ', 'IN', 'NNP', 'VBP', 'NN', 'VBD', 'JJ', 'VB'}",0,behavior,behavior,behavy,255,3.945960160287111,0.12683747633293674,498.4712819884423,0.0,3.945960160287111,1006.2198408732133
sure,374,0.004442385584815118,7.814449665041894,4,JJ,3,"{'VBP', 'NN', 'JJ'}",0,sure,sure,sur,268,3.8742244066881963,0.11643604890878619,457.59367221152957,0.0,3.8742244066881963,1038.2921409924365
thing,371,0.004406751475846013,7.826068748308727,5,NN,2,"{'VBG', 'NN'}",0,thing,thing,thing,288,3.7703885957036567,0.10176264667581415,399.927201435949,0.0,3.7703885957036567,1085.8719155626532
maybe,361,0.004287971112615662,7.86548909804236,5,RB,5,"{'VBP', 'NN', 'RB', 'NNS', 'VB'}",0,mayb,mayb,mayb,284,3.7905664776412866,0.1359509757729595,534.2873347877319,0.0,3.7905664776412866,1076.5208796501254
first,358,0.004252337003646557,7.877528347665274,5,JJ,5,"{'VBZ', 'VBP', 'RB', 'JJ', 'VB'}",0,first,first,first,280,3.8110305802010025,0.11295999486932803,443.93277983645936,0.0,3.8110305802010025,1067.0885624562807
questions,353,0.004192946822031382,7.897819751658351,9,NNS,1,{'NNS'},0,question,question,quest,280,3.8110305802010025,0.12802191822947273,503.12613864182856,0.0,3.8110305802010025,1067.0885624562807
feel,352,0.004181068785708347,7.901912506292233,4,VB,4,"{'VB', 'VBP', 'NN', 'RB'}",0,feel,feel,feel,308,3.6735270564510674,0.17321737286844008,680.7442753729678,0.0,3.6735270564510674,1131.4463333869287
feeling,351,0.004169190749385311,7.906016904624971,7,VBG,4,"{'VBP', 'VBG', 'JJ', 'NN'}",0,feel,feel,feel,263,3.9013946078536663,0.12938192150636352,508.4709515200085,0.0,3.9013946078536663,1026.0667818655143
