,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
like,0.069698386,-0.040803753,-0.03467228,0.13331777,0.10283863,-0.052209985,0.05263719,0.20111026,-0.05566876,-0.00072943594,-0.069727324,-0.03306492,0.03336538,0.09005539,-0.049768783,0.005840254,-0.0054245326,-0.0039964835,-0.008062,-0.14080206,0.058211394,-0.0861317,0.035104133,0.01846574,0.029961083,-0.01575561,0.064429104,-0.07116823,-0.098291434,0.0788707,0.09756889,0.06359098,0.034724154,0.008696923,-0.031397488,0.06623775,0.073226884,-0.10368986,-0.072344765,-0.07440658,-0.10320523,-0.009575858,-0.07824957,-0.002064866,0.08758651,-0.0112941405,0.0094208075,-0.08283926,0.048242703,0.04980379,0.03781855,-0.051567346,-0.052086633,0.011363741,0.096734166,-0.021194741,-0.056776717,-0.07368508,-0.08961606,0.011851045,-0.018714031,0.0025285159,-0.0020230135,-0.06254185,-0.16978298,-0.013631376,0.0077830106,0.12276723,-0.114855945,0.13899514,0.0077704596,0.012680368,0.08285971,-0.038775776,0.03024995,0.049293354,0.099025846,-0.06217493,-0.11957518,-0.008502697,-0.0071451194,-0.0724535,-0.10848046,0.14510849,-0.1466127,0.016449297,0.004037584,0.08556999,0.038000993,-0.05178153,0.10891558,0.08029969,0.03116393,0.072303474,0.1252653,0.06313384,0.045524262,-0.037010767,0.030028204,0.041283626,-0.0721731,0.12802674,0.06617585,-0.0904678,-0.06448515,-0.10873829,0.031774182,0.12238023,-0.08328841,-0.07005259,-0.026870007,-0.12107508,-0.021686425,-0.052831363,0.035378102,-0.073723614,0.03772057,-0.14588764,-0.001057934,-0.117369056,0.01715033,0.10365194,0.072407894,-0.08977474,-0.040653706,0.046845768,-0.082220234,-0.04794346,-0.044498947,-0.042138044,0.083950244,0.031774513,-0.048408322,-0.079525985,0.03873097,0.12894407,-0.020053577,-0.053858943,-0.024814049,-0.11733611,0.093125075,-0.15046927,-0.044238403,0.0017613344,-0.019496627,-0.026123209,-0.009421829,0.059096664,0.0043865675,0.0032983709,0.054492522,-0.08885941,0.023997717,0.051562853,-0.14621031,0.108566895,0.10344376,0.057426345,-0.028350208,0.070771545,0.020231139,0.05782006,0.022188786,-0.06771677,0.0077761994,0.09561666,0.08597921,-0.03447391,-0.061040774,0.024025783,-0.08158207,0.014471627,0.01141769,-0.032485437,0.064283945,0.018928694,-0.12656167,0.041092463,-0.005939635,0.08433214,-0.017737422,0.0435116,-0.027326109,0.025301756,0.05197526,0.0703661,-0.0267889,0.07552308,0.14083998,0.006759685,0.06287631,0.04166677,-0.069423914,-0.0746166,0.029215463,-0.008177125,0.058552656,-0.08429193,-0.011578411,-0.084657386
going,0.07349619,-0.014906528,-0.025012685,0.07803142,0.10480074,-0.031926848,0.02155148,0.15433407,-0.03971241,0.034435257,-0.09215137,-0.055747226,0.019752173,0.069185734,-0.036402248,0.015868943,-0.025506444,-0.012625135,-0.036812123,-0.13480735,0.04519737,-0.0845968,0.013510126,-0.020922631,0.026534371,-0.013997661,0.063261814,-0.049865782,-0.07658178,0.09141564,0.10356143,0.07829623,0.0003399704,0.004919649,-0.056049585,0.077999055,0.069518566,-0.0627986,-0.07899708,-0.031865828,-0.096197754,-0.018834375,-0.043287963,-0.015146306,0.08121973,-0.026474923,0.060826015,-0.0864579,0.06013835,0.027959263,0.072006725,-0.039375883,-0.08020426,0.00048222777,0.10466139,-0.028974155,-0.046784848,-0.04827665,-0.0668572,0.016159963,-0.010941435,0.023103196,-0.003715675,-0.100954816,-0.16216594,-0.0011015194,0.00085504446,0.14075519,-0.120999895,0.16034839,0.0013171252,-0.0074265,0.07800081,-0.014968541,0.04499181,0.019132024,0.09509005,-0.08117819,-0.10389007,0.025812292,-0.010085812,-0.0887942,-0.10318449,0.12752771,-0.1387069,-0.0038651642,-0.03471841,0.084066644,0.08317709,-0.056528702,0.08872408,0.09718374,0.026860088,0.09485191,0.09513387,0.08665353,0.083720215,0.015324038,0.020564381,0.028971177,-0.054695986,0.14742996,0.04246967,-0.08492797,-0.07713122,-0.09138239,0.0530405,0.11587588,-0.071175374,-0.06906504,-0.018491555,-0.092692174,-0.020186814,-0.059401322,0.032223087,-0.10398312,0.033177212,-0.14997287,-0.012319555,-0.08897698,-0.009010584,0.14234568,0.06989101,-0.059951905,-0.044575326,0.06521805,-0.08836357,-0.0408061,-0.03453446,-0.044832394,0.05376607,0.023587016,-0.050492905,-0.06209835,0.0125238,0.13516617,-0.06680687,-0.06765076,-0.022088746,-0.08847042,0.093675084,-0.12308855,-0.028361965,0.013127582,0.020729896,-0.04557448,-0.018407559,0.051648013,-0.013443816,-0.009889989,0.051748518,-0.07991221,0.06422784,0.032579284,-0.19297281,0.069990575,0.093468,0.04781234,-0.036130518,0.078781314,0.00989481,0.07017195,0.061083283,-0.08075711,0.008082974,0.092069164,0.0574854,-0.036177274,-0.061531216,0.031146197,-0.11981282,0.03588261,0.022666702,-0.038190227,0.07927609,0.03577969,-0.14883004,0.054864153,-0.00796595,0.115719505,0.0007380449,0.034210272,-0.04361593,0.007936352,0.057486463,0.08648699,-0.041329436,0.06410689,0.14162195,0.007665757,0.057318572,0.022692459,-0.052706536,-0.05317225,0.026207363,-0.014410136,0.096031085,-0.09125636,0.008205312,-0.12452637
think,0.070250474,-0.028482549,-0.036156997,0.10781281,0.094451286,-0.039154146,0.03497554,0.18203568,-0.048044123,0.016716508,-0.08764689,-0.035461154,0.020569758,0.068623126,-0.04136602,0.0066792024,-0.011366342,-0.016878476,-0.015088483,-0.12728389,0.04697953,-0.09484781,0.018453306,0.0047274423,0.010082623,-0.010536281,0.053873945,-0.061024074,-0.09655136,0.07528957,0.09911691,0.066327915,0.021380706,-0.0008382102,-0.039351482,0.07234615,0.06927357,-0.07896092,-0.079847604,-0.037236895,-0.090387434,-0.0021786299,-0.066069104,-0.005726056,0.0932115,-0.037791558,0.036372278,-0.07871887,0.057420667,0.034118075,0.057308614,-0.04189659,-0.06708591,0.0019139269,0.10018918,-0.023099508,-0.050151736,-0.061424855,-0.072168045,0.014570693,0.0035906583,0.011242853,-0.015134717,-0.068290025,-0.16066277,-0.021510864,0.0068504415,0.14003415,-0.101290226,0.15062596,-0.009150312,-0.009241992,0.0826657,-0.030170115,0.037512373,0.041603796,0.091506734,-0.07528741,-0.10628676,-0.0063919844,-0.01353874,-0.09153471,-0.11551768,0.1468613,-0.13922954,0.0031591228,-0.015301649,0.089048035,0.04670481,-0.05921533,0.109384544,0.08254377,0.028669896,0.08593285,0.11322993,0.057704818,0.06255687,-0.005855163,0.018903013,0.044417635,-0.043999385,0.13978842,0.057837002,-0.093545295,-0.0683925,-0.09556761,0.044158645,0.124395095,-0.091830105,-0.07126214,-0.034082267,-0.113247216,-0.020059826,-0.057734884,0.029364763,-0.0958068,0.025030995,-0.15011892,-0.00069278164,-0.10872219,-0.0046137935,0.123885214,0.060310107,-0.07532388,-0.03372412,0.054286122,-0.08430583,-0.072152734,-0.038060766,-0.036425196,0.06082525,0.032263886,-0.042605765,-0.08496587,0.02308755,0.14085831,-0.040627487,-0.051653378,-0.022004798,-0.10890021,0.10923068,-0.1438854,-0.04103283,0.02044764,-9.75666e-05,-0.045282137,-0.01170814,0.05709966,-0.0075860997,-0.0032242057,0.03740458,-0.10027629,0.05482897,0.043746356,-0.16512376,0.08878692,0.09173173,0.032712586,-0.03950521,0.08057786,0.02104394,0.061157096,0.05520177,-0.07118835,0.014695675,0.1000648,0.07590943,-0.042208463,-0.077139385,0.025631633,-0.10702871,0.026554257,0.020393766,-0.05088456,0.073122054,0.01972067,-0.14452894,0.053056292,-0.0051751514,0.10308232,0.005859815,0.03841711,-0.043700807,0.0046805297,0.04604653,0.07051789,-0.025853062,0.077705495,0.13356873,0.01586166,0.06801548,0.041900665,-0.06659551,-0.05343607,0.028233245,-0.020209981,0.08560517,-0.09284216,-0.004443139,-0.10708125
really,0.06691898,-0.03187992,-0.03148873,0.10537212,0.09934374,-0.042521242,0.035861153,0.16909133,-0.047182467,0.021557668,-0.08017291,-0.030990835,0.03132982,0.08164478,-0.035460833,0.009376042,-0.011783597,-0.011924409,-0.0067380657,-0.1359841,0.050622877,-0.08609989,0.032178793,0.006543264,0.02456796,-0.011461897,0.063852616,-0.06523575,-0.08078903,0.0699934,0.10572862,0.069171846,0.02873335,0.014476842,-0.037094023,0.063921824,0.06418629,-0.09463967,-0.08056914,-0.062721826,-0.09378468,-0.019506905,-0.065854006,-0.00816401,0.087816,-0.016959317,0.020150369,-0.090852045,0.05039962,0.040141907,0.05138873,-0.056185387,-0.059796743,0.014112992,0.09103476,-0.026436184,-0.05659911,-0.07017072,-0.0838654,0.010570641,-0.017721187,0.0015608399,-0.0011331297,-0.07114584,-0.17412943,-0.0049930015,0.0019323083,0.12112658,-0.1262299,0.14668538,-0.0019341394,0.008306077,0.07849768,-0.029819433,0.0284381,0.030748589,0.09703951,-0.06771074,-0.119612284,0.008880312,-0.0059642224,-0.078503124,-0.1103942,0.13960783,-0.14219648,0.0053004907,-0.00814834,0.09153942,0.04823828,-0.05872781,0.09939001,0.085166626,0.029524269,0.06971685,0.11566841,0.06470227,0.0649736,-0.017126622,0.025209246,0.03754978,-0.06985755,0.12966163,0.06250411,-0.09067796,-0.071627915,-0.09541639,0.037855964,0.118653364,-0.088621356,-0.07621771,-0.028217314,-0.109733894,-0.017831607,-0.0583175,0.031817764,-0.08166062,0.034994077,-0.1524055,-0.004401256,-0.11746739,0.0065365164,0.12042576,0.062820345,-0.08511486,-0.042775817,0.06020039,-0.083820306,-0.0491779,-0.045253947,-0.043381616,0.072799295,0.03770472,-0.04841955,-0.07788916,0.027301643,0.1298876,-0.04124452,-0.054538693,-0.030343752,-0.120215386,0.101720445,-0.14240682,-0.04407618,0.0047822273,-0.00035840782,-0.05046011,-0.02303222,0.070304886,-0.0013028283,-0.0034590273,0.04054526,-0.085152745,0.041037433,0.04696591,-0.1673965,0.10659872,0.08784827,0.057523534,-0.029999603,0.07636403,0.03031114,0.058090508,0.036030006,-0.06944636,0.002025481,0.09632962,0.07014494,-0.033465024,-0.06817642,0.020898525,-0.09570659,0.03474098,0.016401121,-0.043787323,0.07443407,0.024299724,-0.12559852,0.043851353,-0.008273468,0.095199674,-0.003465653,0.04006419,-0.033995368,0.030588863,0.058226943,0.080689475,-0.03289036,0.08405728,0.15409547,0.012681497,0.06365305,0.039071057,-0.07659572,-0.06731216,0.03403678,-0.011694665,0.06803467,-0.098335855,0.0046164673,-0.10742027
want,0.052642733,-0.018757813,-0.019946214,0.08920969,0.099280454,-0.037731007,0.033080585,0.15451075,-0.04497661,0.028408334,-0.08390653,-0.03975955,0.031029673,0.07564843,-0.02631981,0.007934167,-0.020051494,-0.0141171655,-0.011084933,-0.1363002,0.04262166,-0.07724848,0.03625816,0.00077757024,0.023340883,-0.010611332,0.06417004,-0.0662439,-0.066055275,0.06156314,0.10315735,0.061192024,0.034420785,0.021934606,-0.0356187,0.06141298,0.065116845,-0.086301036,-0.074872956,-0.065352954,-0.097308315,-0.02322096,-0.063541405,-0.0017065144,0.08694334,-0.01742656,0.022277122,-0.08584889,0.04980495,0.037121218,0.052728835,-0.055417,-0.05394451,0.010969355,0.09390098,-0.030840425,-0.053708624,-0.066731244,-0.07796753,0.008641095,-0.032176375,-0.003496741,0.005256408,-0.07881741,-0.18065594,-0.004344125,0.0002662554,0.122690745,-0.13478006,0.14786825,-0.0069471966,0.006572682,0.074440375,-0.025427926,0.015680445,0.024484495,0.08804551,-0.07245233,-0.11907876,0.017153358,-0.0055017364,-0.07546824,-0.0997504,0.13481988,-0.13252117,0.0086648045,-0.012667098,0.09428099,0.052176107,-0.06158903,0.09091617,0.09011914,0.033806242,0.07177299,0.11784164,0.06971018,0.070907645,-0.009686783,0.034759976,0.025871795,-0.08390095,0.13110699,0.052891828,-0.09255947,-0.076559454,-0.094859496,0.03561677,0.12110044,-0.08836881,-0.07806743,-0.021451788,-0.10899454,-0.022060543,-0.06194801,0.03216481,-0.080249846,0.037042532,-0.16308695,0.0026815059,-0.11813264,0.0047402545,0.118536,0.056582004,-0.07458458,-0.040297672,0.063081026,-0.08657912,-0.04671169,-0.040452916,-0.05563749,0.07622569,0.035982944,-0.049328398,-0.06589669,0.021245027,0.12969118,-0.047780216,-0.05911482,-0.029015297,-0.1275363,0.09602588,-0.13716218,-0.04210138,0.0008614335,0.0020097902,-0.048032798,-0.03118969,0.07322034,-0.003841769,-0.00309607,0.048032258,-0.07579083,0.03779391,0.056135982,-0.17550391,0.10458196,0.08572782,0.05969667,-0.02812028,0.07473027,0.03386179,0.05670305,0.038385116,-0.07408336,-0.0014728792,0.089489534,0.07424727,-0.036115427,-0.06491205,0.021001102,-0.09854752,0.044584673,0.012706135,-0.04430711,0.083736405,0.031761125,-0.13201065,0.051467963,-0.0080556115,0.10424887,0.005242361,0.036274824,-0.029668579,0.04073817,0.061047666,0.08714628,-0.03792478,0.08410037,0.16930786,0.014445142,0.054838087,0.040166475,-0.07429398,-0.07429225,0.043012265,-0.0076522687,0.066312075,-0.09621431,0.016275534,-0.11401672
ethan,0.056220576,-0.026399842,-0.022465091,0.08914113,0.099207975,-0.047501743,0.035182763,0.17467995,-0.049318146,0.019963315,-0.08140834,-0.04786246,0.027419712,0.067064874,-0.03647922,-0.0067005954,-0.0054239407,-0.0030009754,-0.015898457,-0.14682817,0.050248396,-0.07993189,0.033686828,0.0021925436,0.018483715,-0.016601887,0.05921962,-0.06159444,-0.066731706,0.08977304,0.09981521,0.062184155,0.038207874,0.021631818,-0.032058313,0.072701305,0.06277713,-0.08451634,-0.07890967,-0.061126474,-0.0921326,-0.01713294,-0.044998657,0.00483648,0.08835761,-0.02943106,0.021020692,-0.0861023,0.052352358,0.032850783,0.04926872,-0.052227166,-0.06746472,0.0038634588,0.09484582,-0.026102245,-0.05772623,-0.06363131,-0.078009576,0.015105136,-0.04166205,-0.003658153,0.003529446,-0.071882665,-0.17777574,-0.012289502,0.0019495159,0.13188224,-0.1225946,0.14122327,0.0046352316,-0.0016111777,0.06658234,-0.020555679,0.028916046,0.034993816,0.08874108,-0.08455163,-0.11267928,0.030379048,-0.012512818,-0.07490459,-0.097560555,0.16044948,-0.13833268,0.012067509,-0.036017377,0.09992751,0.060200375,-0.055066116,0.11179979,0.0874228,0.020644402,0.08266139,0.1069707,0.07952162,0.076456524,-0.009777581,0.04188851,0.027968012,-0.06847693,0.14508325,0.051638797,-0.08018153,-0.080995165,-0.090480454,0.043775268,0.11203657,-0.08564218,-0.07398683,-0.017096592,-0.10556651,-0.037781406,-0.06637425,0.039213512,-0.084591225,0.031131187,-0.17159143,-0.013790494,-0.10849174,-0.007859652,0.12358589,0.06257026,-0.07676547,-0.05236443,0.057420045,-0.090597056,-0.055876452,-0.03594439,-0.044379562,0.06175451,0.024022788,-0.04873915,-0.06315755,0.021141846,0.121253975,-0.040994942,-0.067667745,-0.033558838,-0.12657227,0.08312522,-0.13777456,-0.028669655,0.008655677,0.0019846987,-0.042234715,-0.013245221,0.05044435,-0.011039798,-0.0092222,0.052383658,-0.07360281,0.0431411,0.04174554,-0.17859666,0.09227775,0.08631654,0.045960475,-0.047272623,0.07519593,0.02973297,0.050576106,0.035325833,-0.069962546,-0.0029055509,0.08272107,0.091135435,-0.03109514,-0.0694079,0.03457332,-0.098457016,0.03911784,0.01084983,-0.029844385,0.0831629,0.04711843,-0.14693488,0.060284223,-0.01456202,0.092365295,-0.005596394,0.033490617,-0.040824212,0.019181293,0.05731063,0.067889124,-0.031013155,0.06816187,0.14921497,0.013994368,0.056946997,0.03241773,-0.072732955,-0.07159403,0.03517225,-0.0075405375,0.06349502,-0.08469774,0.0086323265,-0.11094172
know,0.069876,-0.030479541,-0.026971282,0.10498061,0.09500646,-0.045327276,0.036412593,0.18821956,-0.044005565,0.011663633,-0.0863297,-0.042850196,0.01978924,0.06793452,-0.043494683,-0.00036297285,-0.0072176512,-0.013899582,-0.017205235,-0.13247313,0.04777703,-0.08962035,0.020762518,0.0032763546,0.0113529,-0.0105847,0.051301323,-0.059439313,-0.093020745,0.0858747,0.09666015,0.067275696,0.021695752,0.009233394,-0.041603222,0.07221175,0.065925516,-0.08540888,-0.0753469,-0.042338602,-0.09333344,0.00070628966,-0.05625702,-0.004778822,0.08830434,-0.03356217,0.03477327,-0.08199441,0.05315064,0.036399413,0.05688927,-0.047138233,-0.06915786,-0.0011825757,0.10277744,-0.021938732,-0.0488072,-0.054864753,-0.07030484,0.01662541,-0.011360665,0.009815924,-0.012267107,-0.067936026,-0.16157754,-0.023143215,0.007480901,0.13596907,-0.10394135,0.14369702,-0.006987559,-0.013163664,0.08301103,-0.032841485,0.0353294,0.038463283,0.090270855,-0.08124907,-0.1088182,0.0011541826,-0.014926673,-0.08658595,-0.11435807,0.15941274,-0.13447799,0.009793043,-0.020356517,0.08744578,0.05074753,-0.058873456,0.11344009,0.08573332,0.02409603,0.08637899,0.111217745,0.06688074,0.063989826,-0.009276331,0.027713668,0.041803073,-0.043586038,0.14554283,0.051477406,-0.08904672,-0.06974233,-0.09716971,0.042654835,0.11817145,-0.08949253,-0.06727713,-0.031927463,-0.11011199,-0.02520529,-0.060342886,0.035290923,-0.09093627,0.03370653,-0.155752,-0.0025510455,-0.11182863,-0.00065938727,0.12568247,0.061555386,-0.074367225,-0.02991604,0.05620337,-0.09275188,-0.070715055,-0.038396776,-0.037871867,0.060301345,0.035448022,-0.041792303,-0.08071119,0.02516101,0.13274199,-0.046124592,-0.058262035,-0.024387203,-0.11363815,0.09737403,-0.1439378,-0.03297164,0.023774993,-0.0018175853,-0.040858228,-0.013735188,0.047693677,-0.0020428393,-0.0018306309,0.04195789,-0.09230814,0.046335608,0.040653627,-0.16449484,0.08876914,0.09270511,0.03277743,-0.04204503,0.08723611,0.020980727,0.060285304,0.051343326,-0.06636449,0.013989607,0.09567229,0.08387914,-0.038962103,-0.068048716,0.02985433,-0.10804547,0.023083175,0.013063282,-0.045155298,0.07566162,0.02973591,-0.149445,0.056676902,-0.0045663035,0.0986577,0.0035499397,0.035530142,-0.043459486,0.009898315,0.049798094,0.07691165,-0.020542277,0.077638246,0.13823985,0.0122749545,0.063774765,0.040509325,-0.06155772,-0.05934933,0.022591071,-0.022313647,0.08790279,-0.08858668,-0.003402346,-0.10578095
right,0.06806584,-0.025232071,-0.026184091,0.1011777,0.10073848,-0.048036303,0.039130483,0.18101004,-0.044813376,0.014288463,-0.081553556,-0.04514051,0.022141036,0.07064309,-0.044152975,0.004262798,-0.005197421,-0.013003453,-0.01758675,-0.13814597,0.052543785,-0.08304391,0.023523377,-9.26854e-05,0.013916022,-0.012946094,0.059739724,-0.0630897,-0.08326985,0.08222133,0.10002078,0.06318118,0.025376502,0.009760517,-0.040079188,0.071508795,0.07224593,-0.08187575,-0.07727143,-0.047611237,-0.09102077,-0.008721657,-0.052135613,-0.0026149692,0.09214165,-0.026019126,0.029811576,-0.08437166,0.05504627,0.03922196,0.05451606,-0.047976192,-0.06825935,-0.0012539548,0.09912165,-0.024928765,-0.047780633,-0.059756335,-0.07700268,0.014705831,-0.021113861,0.0061383927,-0.00629319,-0.070947826,-0.16877402,-0.01614234,0.0038567455,0.13368167,-0.11128723,0.14482664,-0.0070830947,-0.013957104,0.08132365,-0.03045232,0.033059746,0.031999465,0.09246912,-0.07810103,-0.109339096,0.009415981,-0.011341678,-0.0836808,-0.11065697,0.1536935,-0.13196687,0.012276673,-0.023096621,0.09456094,0.053981293,-0.062168684,0.111680724,0.08890165,0.024021551,0.08745837,0.11166815,0.070061825,0.065731,-0.008913087,0.02809931,0.039567158,-0.05676542,0.14431317,0.055539012,-0.085825615,-0.07564384,-0.097547695,0.04183788,0.12178553,-0.089211866,-0.064403735,-0.030372346,-0.11388339,-0.024612742,-0.05830468,0.031503566,-0.09206958,0.028595703,-0.15808997,-0.0045846393,-0.10834976,-0.001509985,0.12809901,0.05768625,-0.07693149,-0.040460464,0.05475942,-0.09019247,-0.060868673,-0.039507437,-0.048015885,0.05943082,0.029940069,-0.04477811,-0.06948746,0.022650568,0.13436078,-0.041984543,-0.06755926,-0.029718596,-0.113530844,0.09860932,-0.14255466,-0.036102366,0.017359277,0.0013000626,-0.037073486,-0.01800042,0.049580704,-0.006477674,-0.0061378214,0.04607666,-0.0852124,0.048199322,0.04418149,-0.17027767,0.092538014,0.093991466,0.038603112,-0.036762506,0.083507836,0.023576172,0.0560859,0.042151436,-0.07064663,0.009136181,0.08899358,0.0810207,-0.033404846,-0.066887535,0.03494557,-0.10536893,0.028113313,0.014839897,-0.042897135,0.07851455,0.0368827,-0.14350206,0.05402938,-0.009556702,0.09695018,-0.0028180964,0.033107337,-0.041633327,0.01506086,0.049645714,0.07694039,-0.029685399,0.07122257,0.14439462,0.014928328,0.05891334,0.037265148,-0.067089334,-0.06652157,0.025667427,-0.013741025,0.0787765,-0.082550645,0.0049366695,-0.10607902
us,0.07143961,-0.026245581,-0.024178037,0.09461865,0.094553396,-0.042912282,0.03176599,0.17611015,-0.042550005,0.016455783,-0.088256426,-0.047843438,0.01566627,0.070878625,-0.043339897,0.010956081,-0.017247617,-0.016792959,-0.027895512,-0.13208355,0.04952155,-0.084431216,0.01763712,-0.0044608414,0.010586416,-0.006695226,0.0567728,-0.06233439,-0.087313265,0.08327385,0.100640215,0.06600942,0.014064927,0.0050849137,-0.042779934,0.07939869,0.068874665,-0.07456902,-0.078852795,-0.038558964,-0.09209252,-0.0057647605,-0.050354,-0.005241449,0.08969419,-0.031259257,0.03944717,-0.08292145,0.058783393,0.03453021,0.059735417,-0.045276165,-0.07565068,0.0010487911,0.10398474,-0.02045982,-0.045728017,-0.0534346,-0.071328826,0.015333288,-0.0059872796,0.020062137,-0.013346622,-0.07687631,-0.15944548,-0.01673858,-0.0010119858,0.14172074,-0.10060506,0.14850107,-0.006630893,-0.01674132,0.08067694,-0.027228702,0.03940175,0.028483178,0.09031094,-0.082688116,-0.099668,0.005859688,-0.010508559,-0.092524745,-0.11456574,0.14568304,-0.13224582,0.007035932,-0.03225208,0.08551721,0.059137926,-0.06182414,0.10772582,0.092048444,0.024759533,0.096899055,0.09945911,0.07545846,0.06624635,-0.0021655757,0.021104584,0.038027957,-0.03560784,0.14503239,0.05200605,-0.08748053,-0.066023156,-0.09684436,0.05236916,0.11971849,-0.08583055,-0.06689085,-0.033193514,-0.10821703,-0.018477932,-0.05973535,0.03577414,-0.101236574,0.03110374,-0.15614063,0.00028697215,-0.10775503,-0.002698778,0.1304116,0.057474587,-0.07239299,-0.035590705,0.053069964,-0.0925022,-0.066940196,-0.037525296,-0.04386424,0.053087335,0.032290865,-0.045982398,-0.0742941,0.020763746,0.13916627,-0.057060093,-0.061440885,-0.023449963,-0.106042795,0.10193357,-0.14119263,-0.027026827,0.026995549,0.005478583,-0.04205851,-0.016547397,0.045308586,-0.008414645,-0.00028396765,0.047121312,-0.08647069,0.059245553,0.032759048,-0.17230317,0.08121314,0.09064051,0.0330395,-0.039776053,0.08781733,0.012958695,0.05982157,0.052204818,-0.069517165,0.015368349,0.09688162,0.07469085,-0.039314903,-0.065152615,0.030806296,-0.11465977,0.024683677,0.01849061,-0.04429009,0.078072645,0.035465147,-0.14723101,0.06025349,-0.0044887415,0.110340774,0.0037424369,0.036654193,-0.046175662,0.0025361697,0.054993734,0.08231525,-0.022902517,0.072484754,0.14354366,0.01346948,0.06240276,0.03546353,-0.055310648,-0.0549724,0.024921285,-0.02013316,0.090063535,-0.08531534,0.0037681737,-0.118172
could,0.07616598,-0.0352214,-0.03249879,0.11394314,0.095374025,-0.052650012,0.040703237,0.19521078,-0.051498983,0.0068796976,-0.08437517,-0.043455932,0.021099392,0.07143254,-0.045140643,0.00071955327,-0.004435179,-0.010500257,-0.019230247,-0.13104974,0.055144254,-0.09134716,0.015480218,0.0003844862,0.0102606155,-0.014300873,0.049018014,-0.059960414,-0.09595865,0.088357955,0.106030874,0.06295283,0.019462649,0.007521826,-0.039199416,0.0790167,0.07135245,-0.07905806,-0.073943876,-0.041883335,-0.08962619,0.002650035,-0.045953713,-0.0025133295,0.090347424,-0.034775738,0.03121491,-0.08009808,0.05946424,0.035891842,0.054242764,-0.048963778,-0.07862236,-0.005875532,0.10438468,-0.013905519,-0.045896094,-0.05516294,-0.07014591,0.015196005,-0.005328267,0.019107027,-0.013360123,-0.06290773,-0.16222829,-0.024339505,0.0066622156,0.14493096,-0.094237156,0.14332603,-0.010483316,-0.027183056,0.085708745,-0.031165533,0.045514766,0.039604355,0.084711164,-0.07910463,-0.107134834,-0.0028358805,-0.01657308,-0.091938496,-0.11614611,0.16911037,-0.12546709,0.012923157,-0.030018529,0.087876685,0.048899304,-0.061286774,0.1204198,0.084443815,0.01618672,0.09596514,0.10901063,0.07204113,0.061745144,-0.011888755,0.025682544,0.04307068,-0.028269041,0.14712398,0.055038303,-0.08188927,-0.07093617,-0.094319314,0.050353263,0.120732345,-0.0895276,-0.06292054,-0.03611751,-0.11075444,-0.021868816,-0.05758202,0.03443935,-0.09381068,0.031340472,-0.16105312,-0.0053632236,-0.10980452,-0.005404207,0.13076758,0.0578829,-0.077643365,-0.032628596,0.049438674,-0.09420772,-0.07543575,-0.038452376,-0.033864006,0.050970882,0.02974065,-0.037490334,-0.07926299,0.018954817,0.13768588,-0.044403646,-0.066105515,-0.027081179,-0.10861899,0.098365694,-0.1409059,-0.028369017,0.031792134,-0.0040091295,-0.035478704,-0.009454408,0.03891378,-0.004541332,0.003613111,0.03886184,-0.09413074,0.047812555,0.029561047,-0.16009222,0.08639339,0.0912354,0.024059042,-0.040184982,0.08734224,0.0153752845,0.054156087,0.051282644,-0.06631408,0.013070729,0.09674016,0.08149935,-0.041593663,-0.07310274,0.034311138,-0.108252734,0.022078555,0.016217198,-0.046981007,0.06778829,0.031352796,-0.14722839,0.056979924,-0.009087386,0.09504212,3.708722e-05,0.03286382,-0.04811067,-0.0018798047,0.04956731,0.06856191,-0.019257596,0.06887317,0.126129,0.011916295,0.060282618,0.038281415,-0.05996419,-0.049558945,0.016796958,-0.02900381,0.08072696,-0.076544285,-0.0035062935,-0.102347545
